price,year,odometer,make,model,fuel,transmission,condition,engine_cc,power_hp,seats,body_type,state,title,description,seller_type
2588408,2020,80181,Kia,Sportage,hybrid,cvt,fair,1800,166,7,suv,Islamabad Capital Territory,Kia Sportage 2020 cvt,"Islamabad Capital Territory registered, 80181 km driven, fair condition.",individual
287399,2007,266292,Hyundai,Elantra,cng,manual,like new,1200,120,4,suv,Sindh,Hyundai Elantra 2007 manual,"Sindh registered, 266292 km driven, like new condition.",dealer
1052291,2017,140475,Honda,Civic,petrol,manual,like new,1000,112,7,sedan,Balochistan,Honda Civic 2017 manual,"Balochistan registered, 140475 km driven, like new condition.",individual
849074,2014,171233,Nissan,Dayz,hybrid,automatic,good,1200,113,7,hatchback,Balochistan,Nissan Dayz 2014 automatic,"Balochistan registered, 171233 km driven, good condition.",dealer
848027,2015,146308,Hyundai,Elantra,diesel,automatic,fair,800,87,5,suv,Balochistan,Hyundai Elantra 2015 automatic,"Balochistan registered, 146308 km driven, fair condition.",dealer
1529801,2021,62107,Honda,City,petrol,manual,fair,2000,175,4,sedan,Punjab,Honda City 2021 manual,"Punjab registered, 62107 km driven, fair condition.",individual
583186,2006,289656,Honda,City,petrol,automatic,good,1000,109,7,sedan,Balochistan,Honda City 2006 automatic,"Balochistan registered, 289656 km driven, good condition.",individual
1272696,2017,116166,Honda,City,hybrid,automatic,fair,1800,186,4,sedan,KPK,Honda City 2017 automatic,"KPK registered, 116166 km driven, fair condition.",dealer
736649,2006,277529,Honda,Civic,hybrid,cvt,like new,1500,142,4,sedan,KPK,Honda Civic 2006 cvt,"KPK registered, 277529 km driven, like new condition.",dealer
2182061,2022,45734,Kia,Sportage,petrol,cvt,good,1500,115,7,sedan,KPK,Kia Sportage 2022 cvt,"KPK registered, 45734 km driven, good condition.",individual
934505,2015,154011,Toyota,Yaris,diesel,cvt,good,1500,139,5,suv,Balochistan,Toyota Yaris 2015 cvt,"Balochistan registered, 154011 km driven, good condition.",dealer
441193,2006,281863,Toyota,Corolla,hybrid,automatic,good,1200,105,7,sedan,Islamabad Capital Territory,Toyota Corolla 2006 automatic,"Islamabad Capital Territory registered, 281863 km driven, good condition.",individual
888224,2017,114671,Nissan,Dayz,cng,manual,like new,2000,191,4,hatchback,Balochistan,Nissan Dayz 2017 manual,"Balochistan registered, 114671 km driven, like new condition.",dealer
969854,2007,263933,Kia,Sportage,diesel,automatic,good,2000,143,4,suv,Islamabad Capital Territory,Kia Sportage 2007 automatic,"Islamabad Capital Territory registered, 263933 km driven, good condition.",dealer
804849,2007,250009,Toyota,Corolla,hybrid,cvt,like new,1500,123,7,hatchback,Islamabad Capital Territory,Toyota Corolla 2007 cvt,"Islamabad Capital Territory registered, 250009 km driven, like new condition.",individual
798015,2016,139099,Hyundai,Elantra,cng,manual,fair,660,56,5,suv,Balochistan,Hyundai Elantra 2016 manual,"Balochistan registered, 139099 km driven, fair condition.",dealer
824806,2012,199290,Honda,Civic,hybrid,manual,like new,2000,191,4,suv,Sindh,Honda Civic 2012 manual,"Sindh registered, 199290 km driven, like new condition.",dealer
1536008,2021,70911,Nissan,Dayz,cng,manual,fair,800,95,5,suv,Punjab,Nissan Dayz 2021 manual,"Punjab registered, 70911 km driven, fair condition.",dealer
1630337,2021,60869,Honda,Civic,petrol,automatic,good,1500,163,7,hatchback,KPK,Honda Civic 2021 automatic,"KPK registered, 60869 km driven, good condition.",dealer
327969,2008,253856,Toyota,Aqua,cng,manual,new,1000,102,4,hatchback,Islamabad Capital Territory,Toyota Aqua 2008 manual,"Islamabad Capital Territory registered, 253856 km driven, new condition.",dealer
1035082,2013,183395,Honda,City,hybrid,automatic,like new,660,64,7,hatchback,Islamabad Capital Territory,Honda City 2013 automatic,"Islamabad Capital Territory registered, 183395 km driven, like new condition.",individual
250000,2007,280402,Honda,City,cng,manual,good,1800,170,4,suv,Punjab,Honda City 2007 manual,"Punjab registered, 280402 km driven, good condition.",dealer
640737,2011,209006,Suzuki,Wagon R,cng,cvt,good,1300,128,4,suv,Punjab,Suzuki Wagon R 2011 cvt,"Punjab registered, 209006 km driven, good condition.",dealer
851287,2015,151385,Toyota,Yaris,cng,cvt,fair,2000,147,5,hatchback,KPK,Toyota Yaris 2015 cvt,"KPK registered, 151385 km driven, fair condition.",dealer
1520971,2022,48598,Nissan,Dayz,diesel,manual,good,800,88,7,hatchback,Punjab,Nissan Dayz 2022 manual,"Punjab registered, 48598 km driven, good condition.",individual
624537,2006,283677,Suzuki,Alto,hybrid,automatic,like new,1500,171,7,suv,KPK,Suzuki Alto 2006 automatic,"KPK registered, 283677 km driven, like new condition.",individual
1540281,2022,37855,Hyundai,Elantra,hybrid,automatic,like new,660,73,4,hatchback,KPK,Hyundai Elantra 2022 automatic,"KPK registered, 37855 km driven, like new condition.",individual
1622240,2021,60121,Suzuki,Alto,hybrid,automatic,like new,1500,108,7,sedan,Sindh,Suzuki Alto 2021 automatic,"Sindh registered, 60121 km driven, like new condition.",individual
1381066,2014,162052,Kia,Sportage,cng,automatic,like new,800,62,5,sedan,Islamabad Capital Territory,Kia Sportage 2014 automatic,"Islamabad Capital Territory registered, 162052 km driven, like new condition.",dealer
1581857,2010,214385,Kia,Sportage,petrol,automatic,new,1200,117,7,hatchback,Balochistan,Kia Sportage 2010 automatic,"Balochistan registered, 214385 km driven, new condition.",dealer
1365849,2019,85605,Toyota,Corolla,diesel,automatic,fair,1500,137,7,hatchback,Balochistan,Toyota Corolla 2019 automatic,"Balochistan registered, 85605 km driven, fair condition.",dealer
437099,2006,300468,Nissan,Dayz,diesel,manual,fair,2000,147,7,suv,Balochistan,Nissan Dayz 2006 manual,"Balochistan registered, 300468 km driven, fair condition.",individual
693941,2008,250078,Toyota,Yaris,petrol,manual,good,1000,111,7,suv,Balochistan,Toyota Yaris 2008 manual,"Balochistan registered, 250078 km driven, good condition.",dealer
368379,2008,264841,Toyota,Yaris,diesel,automatic,like new,1300,145,5,suv,Balochistan,Toyota Yaris 2008 automatic,"Balochistan registered, 264841 km driven, like new condition.",individual
905865,2018,108589,Toyota,Yaris,cng,cvt,fair,1200,94,4,hatchback,Punjab,Toyota Yaris 2018 cvt,"Punjab registered, 108589 km driven, fair condition.",individual
391614,2010,231115,Honda,City,diesel,manual,good,1800,193,4,sedan,Islamabad Capital Territory,Honda City 2010 manual,"Islamabad Capital Territory registered, 231115 km driven, good condition.",individual
383210,2009,237831,Toyota,Corolla,diesel,cvt,like new,1500,155,7,sedan,KPK,Toyota Corolla 2009 cvt,"KPK registered, 237831 km driven, like new condition.",individual
528923,2009,254509,Suzuki,Alto,diesel,manual,like new,1800,138,5,suv,Islamabad Capital Territory,Suzuki Alto 2009 manual,"Islamabad Capital Territory registered, 254509 km driven, like new condition.",dealer
528780,2007,279234,Toyota,Aqua,cng,automatic,good,1800,207,4,suv,Islamabad Capital Territory,Toyota Aqua 2007 automatic,"Islamabad Capital Territory registered, 279234 km driven, good condition.",dealer
1583090,2015,147581,Kia,Sportage,hybrid,manual,good,1200,118,4,suv,Islamabad Capital Territory,Kia Sportage 2015 manual,"Islamabad Capital Territory registered, 147581 km driven, good condition.",dealer
1456086,2022,45459,Toyota,Aqua,cng,manual,new,1300,153,4,sedan,Islamabad Capital Territory,Toyota Aqua 2022 manual,"Islamabad Capital Territory registered, 45459 km driven, new condition.",individual
370948,2009,243789,Suzuki,Wagon R,diesel,cvt,good,800,62,4,sedan,KPK,Suzuki Wagon R 2009 cvt,"KPK registered, 243789 km driven, good condition.",individual
1080832,2016,134112,Toyota,Aqua,cng,automatic,good,1200,104,5,hatchback,Balochistan,Toyota Aqua 2016 automatic,"Balochistan registered, 134112 km driven, good condition.",dealer
643112,2009,224698,Toyota,Aqua,petrol,automatic,like new,1200,120,4,hatchback,Sindh,Toyota Aqua 2009 automatic,"Sindh registered, 224698 km driven, like new condition.",individual
1244728,2020,76136,Suzuki,Wagon R,diesel,manual,good,1300,92,4,suv,Punjab,Suzuki Wagon R 2020 manual,"Punjab registered, 76136 km driven, good condition.",dealer
1442462,2022,44083,Nissan,Dayz,cng,cvt,fair,1000,76,4,sedan,Islamabad Capital Territory,Nissan Dayz 2022 cvt,"Islamabad Capital Territory registered, 44083 km driven, fair condition.",individual
453787,2008,267129,Hyundai,Elantra,petrol,manual,good,1300,140,7,hatchback,Punjab,Hyundai Elantra 2008 manual,"Punjab registered, 267129 km driven, good condition.",individual
682116,2006,293483,Suzuki,Alto,diesel,automatic,good,1200,100,7,hatchback,KPK,Suzuki Alto 2006 automatic,"KPK registered, 293483 km driven, good condition.",individual
1015635,2017,128212,Toyota,Corolla,hybrid,cvt,good,660,65,7,sedan,Sindh,Toyota Corolla 2017 cvt,"Sindh registered, 128212 km driven, good condition.",individual
1138402,2011,211624,Kia,Sportage,hybrid,cvt,like new,800,79,5,hatchback,Balochistan,Kia Sportage 2011 cvt,"Balochistan registered, 211624 km driven, like new condition.",individual
1020793,2020,88028,Toyota,Corolla,cng,automatic,fair,1000,104,4,hatchback,Punjab,Toyota Corolla 2020 automatic,"Punjab registered, 88028 km driven, fair condition.",dealer
525639,2010,224950,Honda,City,cng,cvt,like new,1300,104,7,sedan,KPK,Honda City 2010 cvt,"KPK registered, 224950 km driven, like new condition.",dealer
408663,2009,235889,Honda,City,petrol,automatic,good,1000,113,7,suv,KPK,Honda City 2009 automatic,"KPK registered, 235889 km driven, good condition.",individual
684524,2015,149143,Toyota,Yaris,diesel,automatic,good,800,91,4,sedan,Sindh,Toyota Yaris 2015 automatic,"Sindh registered, 149143 km driven, good condition.",individual
1179076,2020,65191,Toyota,Aqua,cng,manual,like new,2000,146,5,suv,Islamabad Capital Territory,Toyota Aqua 2020 manual,"Islamabad Capital Territory registered, 65191 km driven, like new condition.",individual
1345224,2019,77878,Honda,City,diesel,cvt,like new,2000,212,5,suv,KPK,Honda City 2019 cvt,"KPK registered, 77878 km driven, like new condition.",individual
687734,2011,197148,Toyota,Yaris,hybrid,manual,fair,660,70,5,hatchback,Sindh,Toyota Yaris 2011 manual,"Sindh registered, 197148 km driven, fair condition.",individual
939926,2022,42201,Toyota,Aqua,diesel,cvt,good,800,87,4,hatchback,Sindh,Toyota Aqua 2022 cvt,"Sindh registered, 42201 km driven, good condition.",individual
1619880,2022,28939,Honda,City,cng,automatic,like new,1300,114,5,suv,Islamabad Capital Territory,Honda City 2022 automatic,"Islamabad Capital Territory registered, 28939 km driven, like new condition.",dealer
